name,birthday,nationality
Tom Hanks,1956-07-09,USA
Emma Watson,1990-04-15,UK
Leonardo DiCaprio,1974-11-11,USA
Pelé,1940-10-23,Brazil
Jennifer Lawrence,1990-08-15,USA
Benedict Cumberbatch,1976-07-19,UK
Gisele Bündchen,1980-07-20,Brazil
Will Smith,1968-09-25,USA
Kate Winslet,1975-10-05,UK
Ronaldinho,1980-03-21,Brazil
Brad Pitt,1963-12-18,USA
Emma Stone,1988-11-06,USA
Daniel Craig,1968-03-02,UK
Caetano Veloso,1942-08-07,Brazil
Scarlett Johansson,1984-11-22,USA
Hugh Jackman,1968-10-12,USA
Adele,1988-05-05,UK
Ayrton Senna,1960-03-21,Brazil
Robert Downey Jr.,1965-04-04,USA
Keira Knightley,1985-03-26,UK
Anitta,1993-03-30,Brazil
Chris Evans,1981-06-13,USA
Helena Bonham Carter,1966-05-26,UK
Neymar,1992-02-05,Brazil
Angelina Jolie,1975-06-04,USA
Orlando Bloom,1977-01-13,UK
Paulo Coelho,1947-08-24,Brazil
Ryan Gosling,1980-11-12,USA
Judi Dench,1934-12-09,UK
Fernanda Montenegro,1929-10-16,Brazil
Matthew McConaughey,1969-11-04,USA
Eddie Redmayne,1982-01-06,UK
Gilberto Gil,1942-06-26,Brazil
Meryl Streep,1949-06-22,USA
Tom Hiddleston,1981-02-09,UK
Sônia Braga,1950-06-08,Brazil
Denzel Washington,1954-12-28,USA
Colin Firth,1960-09-10,UK
Wagner Moura,1976-06-27,Brazil
Sandra Bullock,1964-07-26,USA
Ian McKellen,1939-05-25,UK
Alice Braga,1983-04-15,Brazil
Morgan Freeman,1937-06-01,USA
Ralph Fiennes,1962-12-22,UK
Rodrigo Santoro,1975-08-22,Brazil
Jennifer Aniston,1969-02-11,USA
Gary Oldman,1958-03-21,UK
Camila Pitanga,1977-06-14,Brazil
Johnny Depp,1963-06-09,USA
Tilda Swinton,1960-11-05,UK
Lázaro Ramos,1978-11-01,Brazil
Harrison Ford,1942-07-13,USA
Helen Mirren,1945-07-26,UK
Cauã Reymond,1980-05-20,Brazil
Robert De Niro,1943-08-17,USA
Kate Beckinsale,1973-07-26,UK
Taís Araújo,1978-11-25,Brazil
Al Pacino,1940-04-25,USA
Carey Mulligan,1985-05-28,UK
Bruno Gagliasso,1982-04-13,Brazil
Clint Eastwood,1930-05-31,USA
